id_amostra;data_analise;lote;umidade_pct;proteina_pct;extrato_etereo_pct;fibras_pct;materia_mineral_pct;urease_uph;solubilidade_pct;indice_qualidade;classe_qualidade
FS0001;2026-01-02;FS-2026-0001;12.31;45.82;1.57;5.33;4.79;0.116;83.25;84.71;Conforme
FS0002;2026-01-02;FS-2026-0001;12.8;45.94;1.24;4.58;4.5;0.154;80.46;79.35;Atencao
FS0003;2026-01-02;FS-2026-0001;12.14;45.9;1.61;4.43;4.5;0.135;81.58;81.09;Conforme
FS0004;2026-01-02;FS-2026-0001;12.66;46.04;1.73;5.66;4.4;0.055;81.53;80.61;Conforme
FS0005;2026-01-03;FS-2026-0001;12.11;46.31;2.2;4.53;4.76;0.027;82.53;79.35;Atencao
FS0006;2026-01-03;FS-2026-0001;12.72;45.46;1.9;4.9;4.55;0.052;82.5;78.33;Atencao
FS0007;2026-01-03;FS-2026-0001;12.4;45.79;2.5;4.81;4.67;0.18;81.41;79.45;Atencao
FS0008;2026-01-03;FS-2026-0001;12.14;46.59;1.88;6.0;4.34;0.095;79.26;79.92;Atencao
FS0009;2026-01-04;FS-2026-0001;12.2;46.47;1.56;4.35;4.71;0.126;81.72;85.24;Conforme
FS0010;2026-01-04;FS-2026-0001;12.32;45.68;1.4;4.91;4.45;0.182;81.24;79.7;Atencao
FS0011;2026-01-04;FS-2026-0002;12.13;45.53;1.3;4.92;4.27;0.111;83.1;82.09;Conforme
FS0012;2026-01-04;FS-2026-0002;12.81;46.61;1.2;4.06;4.24;0.173;83.85;86.59;Conforme
FS0013;2026-01-05;FS-2026-0002;12.69;46.11;1.54;4.08;4.34;0.108;79.38;81.87;Conforme
FS0014;2026-01-05;FS-2026-0002;12.82;46.36;1.99;4.73;4.37;0.166;82.28;83.71;Conforme
FS0015;2026-01-05;FS-2026-0002;12.89;45.95;1.65;4.53;4.3;0.105;81.76;81.67;Conforme
FS0016;2026-01-05;FS-2026-0002;12.0;46.45;1.48;4.07;4.79;0.063;82.47;84.51;Conforme
FS0017;2026-01-06;FS-2026-0002;12.43;45.9;2.34;3.81;4.47;0.083;81.77;86.72;Conforme
FS0018;2026-01-06;FS-2026-0002;12.26;46.91;1.83;4.7;4.4;0.122;81.49;90.51;Excelente
FS0019;2026-01-06;FS-2026-0002;13.0;45.55;2.34;3.62;5.0;0.167;83.91;79.07;Atencao
FS0020;2026-01-06;FS-2026-0002;12.91;46.47;1.84;4.82;4.38;0.141;80.97;82.14;Conforme
FS0021;2026-01-07;FS-2026-0003;12.83;46.08;1.69;4.59;4.23;0.077;82.82;83.73;Conforme
FS0022;2026-01-07;FS-2026-0003;12.27;45.86;2.26;5.1;4.42;0.071;84.65;83.8;Conforme
FS0023;2026-01-07;FS-2026-0003;12.54;45.65;1.37;4.51;4.62;0.201;81.75;80.57;Conforme
FS0024;2026-01-07;FS-2026-0003;12.42;46.08;1.8;4.72;4.42;0.1;80.91;87.58;Conforme
FS0025;2026-01-08;FS-2026-0003;12.36;45.92;1.78;3.59;4.66;0.024;82.78;85.01;Conforme
FS0026;2026-01-08;FS-2026-0003;12.1;46.14;1.9;4.92;4.34;0.027;81.73;80.62;Conforme
FS0027;2026-01-08;FS-2026-0003;12.23;46.31;1.32;4.43;4.85;0.088;81.94;87.05;Conforme
FS0028;2026-01-08;FS-2026-0003;12.5;46.15;1.86;4.86;4.67;0.122;82.07;89.02;Excelente
FS0029;2026-01-09;FS-2026-0003;12.17;45.91;1.2;4.16;4.64;0.07;83.35;86.54;Conforme
FS0030;2026-01-09;FS-2026-0003;12.49;45.79;1.83;5.11;4.59;0.097;80.95;82.44;Conforme
